name,latitude,longitude,rating,number_of_reviews,affluence
lipi aker,23.888126,90.9605694,4.0,1.0,
খাজা হোটেল / Khaja Hotel,23.888126,90.9605694,1.0,3.0,
Nur-Jahan Hotel & Restaurant,23.8872258,90.9702395,3.7,117.0,$
আঃ রশিদ মোল্লা মার্কেট,23.879184600000002,90.9711646,5.0,2.0,
মায়ের দোয়া রেষ্টুরেন্ট,24.1924458,91.1952537,0.0,,
Bage Madina Hotel & Restaurant,24.1915733,91.1953617,4.0,3.0,
Allahr Dan Hotel & Restaurant,24.196087300000002,91.1994022,2.8,8.0,
Ananta Hotel,24.1981038,91.195537,4.0,1.0,
"Hello Marwa Hotel, Restaurant and Party Center",24.075241600000002,91.1181714,4.5,23.0,
Cafe Samad Restaurant & Biriyani House,24.0711749,91.1168343,3.0,1.0,
দই ফুচকা জোন,24.0621609,91.1156373,0.0,,
QUICK FOOD EXPRESS,24.0706229,91.1163883,5.0,1.0,
FOODIES,24.070901,91.1133679,0.0,,
Malaysia Food,24.074463899999998,91.1113135,5.0,4.0,
Irfanjonet,24.0556163,91.13116,0.0,,
Khanar Khajana,24.0732311,91.1126084,4.7,6.0,
Decent Food,24.073050100000003,91.1127499,0.0,,
Ibrahim Cottage,24.0935923,91.12758659999999,5.0,1.0,
বড় বাজার,24.0543004,91.107533,0.0,,
আব্দুল মজিদ বিল্ডিং,24.0848201,91.1207936,3.7,3.0,
Kalikaccha bazar,24.094033,91.12078790000001,4.1,17.0,
Jom Jom Hotel & Restaurant,24.0939987,91.1202693,4.0,5.0,
Babu Store,24.0922538,91.1334083,2.0,1.0,
Dulal Stor,24.0923233,91.1334465,4.3,3.0,
আল্লাহর দান হোটেল,21.6462657,92.3069177,0.0,,
জাহাঙ্গীর হোটেল এন্ড ভাতঘর,21.6558313,92.3120545,2.0,2.0,
বিছমিল্লাহ হোটেল,21.6557827,92.31201690000002,3.0,2.0,
মায়েরদোয়া হোটেল এন্ড রেস্টুরেন্টে,21.652552800000002,92.3192657,1.0,1.0,
বিসমিল্লাহ হোটেল এন্ড রেস্টুরেন্ট। (Bismillah Hotel & Restaurant),21.6557616,92.31166479999999,5.0,1.0,
Abc,21.659319600000003,92.3097484,5.0,1.0,
রিয়াজ stor,21.650947199999997,92.3250796,1.0,1.0,
বনফুল আলীকদম,21.646384100000002,92.3081123,3.5,2.0,
মেসার্স আবুল কালাম ট্রেডার্স,21.6530087,92.3147677,0.0,,
শিহাব ম্যানসন,21.6456397,92.3105377,0.0,,
লোহাগাড়া হোটেল,21.6558393,92.3115683,3.0,2.0,
BISMILLAH HOTEL,21.645959,92.3073834,3.0,5.0,
The Damtua Inn (Hotel & Restaurant),21.650330800000003,92.30723990000001,4.2,181.0,
Lablu's Kitchen with Lawbiot,22.1994357,92.2209556,4.6,12.0,
Green Prairie Restaurant,22.1892743,92.2190082,3.8,70.0,
Kazi's Dine & Kabab Factory,22.2048968,92.2165376,4.0,80.0,
New Bomangthang Restaurant,22.1993059,92.2214167,4.2,14.0,$
"বংডঃ ফাস্ট ফুড, মুন্ডি এন্ড কাবাব হাউস",22.199178699999997,92.2233078,4.2,65.0,$
Nilachol Restaurant,22.1966353,92.21799809999999,4.0,115.0,
নীলাচল রেস্তোরাঁ,22.1965592,92.2178824,5.0,2.0,
Kalapata Resturant,22.189661899999997,92.2151208,3.9,230.0,
পিপাসা হোটেল এন্ড রেস্টুরেন্ট,22.194023,92.2234035,5.0,1.0,
Q-Bistro,22.194450500000002,92.2198371,0.0,,
নিউ ভাই ভাই হোটেল এন্ড রেস্টুরেন্ট,22.1935628,92.21874759999999,0.0,,
တို့ဇား ထမောင်း ခိုင်,22.1994468,92.2215503,5.0,2.0,
Cafeteria,22.198925699999997,92.2193228,5.0,1.0,
হোটেল এ অামিরাবাদ এন্ড বিরাণী হাউস,22.1964475,92.2183749,0.0,,
কুঁড়েঘর রেষ্টুরেন্ট Kureghar Restaurant,22.198464,92.2210012,0.0,,
ဗိုလ်မင်းထောင် ထမောင်း ဆိုင်,22.199301600000002,92.221486,0.0,,
foodies,22.1993217,92.22362,0.0,,
রুপোশী বাংলা,22.192872199999996,92.21535909999999,3.5,4.0,
Jungle cafeteria,22.2032653,92.2201901,5.0,8.0,
Kong Rong Mundi Restaurent,22.198780300000003,92.2216712,4.1,50.0,$
Meghdoot Cafe & Restaurant,22.1975671,92.215117,3.8,69.0,
Hill View Restaurant,22.1898535,92.2148548,4.0,95.0,
Tohzah Restaurant,22.199230800000002,92.2215017,3.7,119.0,$
Cup of Joy,22.193928600000003,92.215111,4.0,78.0,
বাশপতা রেস্টুরেন্ট - Bashpata Restaurant,22.1926633,92.2131088,0.0,,
পিরিতি রেস্টুরেন্ট,22.1993821,92.2216886,4.5,2.0,
Jojo' mundi and kabab,22.1985943,92.2214955,3.0,3.0,
Bonoful resturand and co.,22.196422000000002,92.2188561,0.0,,
Feast Restaurant,22.190376899999997,92.2149815,3.5,59.0,
JUMMO RESTAURANT,22.1994331,92.2211756,3.0,2.0,
Md. Main(sowkat),22.1872967,92.228504,0.0,,
A&U readytoeat,22.1935628,92.21874759999999,0.0,,
Choruivati Restaurant,22.1972909,92.2200551,3.7,141.0,
Block Leader Mundi House,22.198986399999995,92.2211156,5.0,1.0,
তাজিংডং রেস্তোরাঁ,22.1948401,92.2171569,3.7,304.0,$$
zam zam hotel resturant and birani how's,22.1943328,92.219254,0.0,,
Food Place,22.198982100000002,92.2197734,3.8,15.0,
New Poushe Restaurant,22.1968253,92.2175394,3.0,4.0,
Kazifarms Kitchen,22.1964115,92.21895529999999,4.1,15.0,
Hill View Restaurant,22.1898687,92.2148503,3.7,132.0,
Hotel Super Star Biriyani House & Restaurant,22.197205,92.2179615,3.8,10.0,
wild cafe,22.1935628,92.21874759999999,0.0,,
কাজল মুন্ডি হাউস,22.214803600000003,92.2101558,3.0,2.0,
zovi restaurant,22.186345899999996,92.2223068,3.8,10.0,
বন্দু মিলন রেস্টুরেন্ট এন্ড বিরায়ানি হাউস,22.1935628,92.21874759999999,0.0,,
Modern Food Center,22.1965,92.2187966,4.0,3.0,
Al Madina Restaurent,22.1935628,92.21874759999999,0.0,,
Daruchini restaurant,22.192023499999998,92.2152483,4.5,2.0,
Govinda's Restaurant,22.1962206,92.21783149999999,3.7,14.0,
শাহ মজিদিয়া সাতকানিয়া হোটেল এন্ড রেস্টুরেন্ট,22.215126899999998,92.2102708,5.0,1.0,
BISB,22.213686499999998,92.2060619,5.0,1.0,
Lobiot Restaurant,22.1994369,92.2207031,4.3,6.0,
Tha Jing Dong Cafe,22.1943639,92.21643,3.8,237.0,
Ching Restaurant(Mundi Shop),22.1989467,92.219197,4.9,9.0,
Nilambori Canteen,22.1971655,92.2150125,0.0,,
Sompriti Restaurant,22.1935628,92.21874759999999,0.0,,
media vat ghor,22.1964147,92.2196959,5.0,2.0,
জাফরান রেস্তোরাঁ,22.1965102,92.2187954,4.1,8.0,
বোম্যাথং,22.1935628,92.21874759999999,0.0,,
Taskin Hotel and Restaurant,22.1924612,92.216378,4.0,1.0,
Maa Studio B,21.773905499999998,92.1968917,0.0,,
New Bonorupa Hotel,21.7778321,92.19515,0.0,,
Arambag Hotel,21.7768037,92.1947011,4.3,10.0,
ক্যান্টিন,21.7771048,92.1899885,4.8,9.0,
LFC,21.777343,92.19419520000001,3.8,4.0,
বিসমিল্লাহ ফাস্ট ফুড রেস্তোরাঁ,21.7739277,92.19550109999999,3.5,2.0,
চৌধুরী বাংলো,21.7925434,92.2159076,4.5,2.0,
Kader tea house,21.759725800000002,92.2084548,0.0,,
চৌরঙ্গী হোটেল এন্ড রেস্টুরেন্ট,21.7773971,92.1945586,4.3,12.0,
মাতামুহুরি ফুডস্ কর্নার,21.777450100000003,92.1942947,0.0,,
Bismillaah Rice House,21.773843600000003,92.1954071,2.6,7.0,
ম্রো হোটেল,21.7766555,92.1947688,0.0,,
মেহমান হোটেল,21.776442499999998,92.1946532,5.0,1.0,
"কুটুমবাড়ী রেস্টুরেন্ট লামা,বান্দরবান",21.776089499999998,92.1946853,3.6,82.0,$$
অতিথি রেস্টুরেন্ট উপবন নাইক্ষংছড়ি পর্যটন কেন্দ্র,21.4228584,92.1722523,5.0,2.0,
নিউ ভাই ভাই হোটেল এন্ড রেষ্টুরেন্ট,21.4274375,92.1788125,5.0,2.0,
জালাল হোটেল এন্ড রেস্টুরেন্ট,21.440391199999997,92.192907,4.0,1.0,
Nafi Hotel & Restaurant,21.426948100000004,92.1757278,0.0,,
কুটুমবাড়ি রেষ্টুরেন্ট,21.4289798,92.17935940000001,4.1,16.0,
বাঁকখালী রেস্টুরেন্ট এন্ড গ্রীল হাউস,21.4425965,92.1960776,5.0,1.0,
ফুলের কলি কোয়ালিফাই আইসবার,21.4351167,92.17885290000001,0.0,,
জিয়া হোটেল,21.4275462,92.1804294,4.0,2.0,
Hotel Al Amin,21.4283674,92.1795842,5.0,2.0,
Al Amin Resturent And Sweetmeet,21.426948100000004,92.1757277,5.0,1.0,
Maira Digital Resturant,21.426499800000002,92.175986,4.5,2.0,
New Hotel Sheraton & Birani House,21.426706399999997,92.1759328,5.0,2.0,
ফুচকা হাউজ,22.172075399999997,92.3382506,5.0,1.0,
র:খইং খ্যং রেস্টুরেন্ট,22.1720496,92.33806650000001,0.0,,
শাহ জব্বারিয়া হোটেল এন্ড রেস্টুরেন্ট,22.1747266,92.3369916,4.2,18.0,
জগদীশ পাহাড়ী হোটেল Jagadish Pahari Hotel,22.172998100000004,92.3372806,1.5,2.0,
দেবতাকুম রিসোর্ট,22.183238100000004,92.33668459999998,0.0,,
আমিরাবাদ ভাত ঘর,22.0499821,92.4092949,0.0,,
Kashban Vatghar(কাশবন ভাতঘর),22.0494561,92.409087,0.0,,
বড়ুয়া টি হাউস,22.0492179,92.40934820000001,4.0,2.0,
Al Madina Hotel,22.0494261,92.4089479,0.0,,
Zomi Resort and Restaurant,22.052098,92.4049056,3.8,33.0,
মক্কা হোটেল এন্ড রেস্টুরেন্ট,21.817045899999997,92.4382554,0.0,,
পদ্ম ঝিড়ি রেষ্টুরেন্ট এন্ড জুসবার,21.8160181,92.43792950000001,3.7,7.0,
জলপাই রেস্তোরাঁ,21.815264499999998,92.438128,0.0,,
সাতকানিয়া ভাতঘর,21.8145657,92.4383184,4.0,1.0,
পেটুক,21.8160905,92.43789090000001,4.3,7.0,
শৈলপ্রান্ত হোটেল এন্ড রেস্টুরেন্ট,21.821096100000002,92.435696,3.0,1.0,
Food Corner,21.815875199999997,92.4377267,3.9,10.0,
টং মা হাং রেস্টুরেন্ট,21.815448800000002,92.43860010000002,3.5,8.0,
Petuk resturant,21.8160741,92.4378901,4.5,2.0,
তাজিংডং হোটেল (রেস্টুরেন্ট),21.8145568,92.4384431,4.4,5.0,
Madina Hotel and Restaurant,21.8155858,92.43846059999998,3.2,6.0,
The Hotel Discovery Thanchi দি হোটেল ডিসকভারি থানচি,21.8155182,92.4387108,4.5,69.0,
La চাঁদপুইরা,23.2299452,90.6602855,4.4,10.0,
